epoch,loss,val_loss,val_tn,val_fp,val_fn,val_tp,val_acc,val_bacc,val_prec,val_rec,val_f1,val_matthews_corrcoef
0.0,0.720370352268219,0.7397732138633728,0.0,107.0,15.0,49.0,0.28654970760233917,0.3828125,0.3141025641025641,0.765625,0.44545454545454544,-0.4009453972032371
1.0,0.7176300287246704,0.735687792301178,0.0,107.0,15.0,49.0,0.28654970760233917,0.3828125,0.3141025641025641,0.765625,0.44545454545454544,-0.4009453972032371
2.0,0.7149952054023743,0.7318298816680908,0.0,107.0,16.0,48.0,0.2807017543859649,0.375,0.3096774193548387,0.75,0.4383561643835616,-0.41542826716689646
3.0,0.7124508023262024,0.7281752228736877,1.0,106.0,18.0,46.0,0.27485380116959063,0.3640478971962617,0.3026315789473684,0.71875,0.42592592592592593,-0.41869638030260625
4.0,0.7099841833114624,0.7247024774551392,3.0,104.0,19.0,45.0,0.2807017543859649,0.36558119158878505,0.30201342281879195,0.703125,0.4225352112676056,-0.3885683633058674
5.0,0.7075845003128052,0.7213928699493408,5.0,102.0,18.0,46.0,0.2982456140350877,0.3827394859813084,0.3108108108108108,0.71875,0.4339622641509434,-0.3326357241470907
6.0,0.7052426338195801,0.7182298898696899,9.0,98.0,19.0,45.0,0.3157894736842105,0.39361857476635514,0.3146853146853147,0.703125,0.43478260869565216,-0.2782470967249692
7.0,0.7029509544372559,0.7151988744735718,11.0,96.0,20.0,44.0,0.3216374269005848,0.3951518691588785,0.3142857142857143,0.6875,0.43137254901960786,-0.26340723486056644
8.0,0.7007030844688416,0.7122869491577148,13.0,94.0,22.0,42.0,0.3216374269005848,0.3888726635514019,0.3088235294117647,0.65625,0.42,-0.26658106597674336
9.0,0.6984934210777283,0.709482729434967,13.0,94.0,24.0,40.0,0.30994152046783624,0.3732476635514019,0.29850746268656714,0.625,0.40404040404040403,-0.29793023816852465
10.0,0.6963174939155579,0.7067758440971375,21.0,86.0,23.0,41.0,0.36257309941520466,0.41844334112149534,0.3228346456692913,0.640625,0.4293193717277487,-0.1805689607728634
11.0,0.6941714882850647,0.7041574716567993,26.0,81.0,23.0,41.0,0.391812865497076,0.44180782710280375,0.3360655737704918,0.640625,0.44086021505376344,-0.12456570496791525
12.0,0.6920520067214966,0.7016193270683289,30.0,77.0,22.0,42.0,0.42105263157894735,0.4683119158878505,0.35294117647058826,0.65625,0.45901639344262296,-0.06667034479781764
13.0,0.6899563074111938,0.6991544365882874,36.0,71.0,21.0,43.0,0.4619883040935672,0.5041617990654206,0.37719298245614036,0.671875,0.48314606741573035,0.008544824087808291
14.0,0.6878819465637207,0.6967562437057495,39.0,68.0,21.0,43.0,0.47953216374269003,0.5181804906542056,0.38738738738738737,0.671875,0.49142857142857144,0.036870612877508854
15.0,0.6858270168304443,0.6944190859794617,41.0,66.0,23.0,41.0,0.47953216374269003,0.5119012850467289,0.38317757009345793,0.640625,0.47953216374269003,0.023802570093457945
16.0,0.6837897896766663,0.6921377182006836,51.0,56.0,21.0,43.0,0.5497076023391813,0.5742552570093458,0.43434343434343436,0.671875,0.5276073619631901,0.14556441909409804
