epoch,loss,val_loss,val_tn,val_fp,val_fn,val_tp,val_acc,val_bacc,val_prec,val_rec,val_f1,val_matthews_corrcoef
0.0,0.7630775570869446,0.7041094303131104,107.0,0.0,64.0,0.0,0.6257309941520468,0.5,,0.0,0.0,
1.0,0.7538125514984131,0.7012609839439392,107.0,0.0,64.0,0.0,0.6257309941520468,0.5,,0.0,0.0,
2.0,0.7456151247024536,0.6988758444786072,107.0,0.0,64.0,0.0,0.6257309941520468,0.5,,0.0,0.0,
3.0,0.7383349537849426,0.6968547701835632,107.0,0.0,64.0,0.0,0.6257309941520468,0.5,,0.0,0.0,
4.0,0.7318398952484131,0.695114016532898,107.0,0.0,64.0,0.0,0.6257309941520468,0.5,,0.0,0.0,
5.0,0.7260152101516724,0.6935842037200928,107.0,0.0,64.0,0.0,0.6257309941520468,0.5,,0.0,0.0,
6.0,0.7207615375518799,0.6922078728675842,107.0,0.0,64.0,0.0,0.6257309941520468,0.5,,0.0,0.0,
7.0,0.7159931659698486,0.6909380555152893,107.0,0.0,64.0,0.0,0.6257309941520468,0.5,,0.0,0.0,
8.0,0.711637020111084,0.6897370219230652,107.0,0.0,64.0,0.0,0.6257309941520468,0.5,,0.0,0.0,
9.0,0.707630455493927,0.6885746121406555,107.0,0.0,64.0,0.0,0.6257309941520468,0.5,,0.0,0.0,
10.0,0.703920304775238,0.6874269843101501,107.0,0.0,64.0,0.0,0.6257309941520468,0.5,,0.0,0.0,
11.0,0.7004613280296326,0.6862760186195374,107.0,0.0,64.0,0.0,0.6257309941520468,0.5,,0.0,0.0,
12.0,0.6972154378890991,0.6851072907447815,107.0,0.0,64.0,0.0,0.6257309941520468,0.5,,0.0,0.0,
13.0,0.6941502094268799,0.6839107871055603,107.0,0.0,62.0,2.0,0.6374269005847953,0.515625,1.0,0.03125,0.06060606060606061,0.14066095036853649
14.0,0.6912386417388916,0.682678759098053,107.0,0.0,62.0,2.0,0.6374269005847953,0.515625,1.0,0.03125,0.06060606060606061,0.14066095036853649
15.0,0.688457727432251,0.6814064383506775,107.0,0.0,62.0,2.0,0.6374269005847953,0.515625,1.0,0.03125,0.06060606060606061,0.14066095036853649
16.0,0.6857878565788269,0.6800904870033264,107.0,0.0,60.0,4.0,0.6491228070175439,0.53125,1.0,0.0625,0.11764705882352941,0.2001122439523397
17.0,0.6832130551338196,0.6787294149398804,106.0,1.0,56.0,8.0,0.6666666666666666,0.5578271028037383,0.8888888888888888,0.125,0.2191780821917808,0.25064817324237654
18.0,0.6807196140289307,0.6773226261138916,104.0,3.0,50.0,14.0,0.6900584795321637,0.595356308411215,0.8235294117647058,0.21875,0.345679012345679,0.3084441089749977
19.0,0.678295910358429,0.6758706569671631,101.0,6.0,50.0,14.0,0.672514619883041,0.5813376168224299,0.7,0.21875,0.3333333333333333,0.24496263418288747
20.0,0.6759323477745056,0.6743745803833008,99.0,8.0,46.0,18.0,0.6842105263157895,0.6032418224299065,0.6923076923076923,0.28125,0.4,0.27828952436594484
21.0,0.6736209392547607,0.6728362441062927,98.0,9.0,43.0,21.0,0.695906432748538,0.6220064252336448,0.7,0.328125,0.44680851063829785,0.3104733947901805
22.0,0.6713545322418213,0.6712574362754822,94.0,13.0,39.0,25.0,0.695906432748538,0.6345648364485981,0.6578947368421053,0.390625,0.49019607843137253,0.3132750735305861
23.0,0.6691277027130127,0.6696403622627258,94.0,13.0,31.0,33.0,0.7426900584795322,0.6970648364485981,0.717391304347826,0.515625,0.6,0.4301174737712907
24.0,0.6669353246688843,0.6679877042770386,94.0,13.0,27.0,37.0,0.7660818713450293,0.7283148364485981,0.74,0.578125,0.6491228070175439,0.4858120895013913
25.0,0.6647736430168152,0.6663019061088562,93.0,14.0,26.0,38.0,0.7660818713450293,0.7314544392523364,0.7307692307692307,0.59375,0.6551724137931034,0.4869700299748431
26.0,0.6626390218734741,0.664585530757904,91.0,16.0,22.0,42.0,0.7777777777777778,0.7533586448598131,0.7241379310344828,0.65625,0.6885245901639344,0.5179578034306873
27.0,0.6605286002159119,0.6628409624099731,89.0,18.0,16.0,48.0,0.8011695906432749,0.7908878504672897,0.7272727272727273,0.75,0.7384615384615385,0.5783234953719127
28.0,0.6584400534629822,0.6610708236694336,89.0,18.0,16.0,48.0,0.8011695906432749,0.7908878504672897,0.7272727272727273,0.75,0.7384615384615385,0.5783234953719127
