data_type,approaches,distribution,repetition,train_loss,val_loss,val_tn,val_fp,val_fn,val_tp,val_acc,val_bacc,val_prec,val_rec,val_f1,val_matthews_corrcoef
R,sst_uka,setting1,0,0.2207353711128235,0.20800381898880005,105,2,11,53,0.9239766081871345,0.9047167056074766,0.9636363636363636,0.828125,0.8907563025210085,0.8385957622169496
R,sst_umg,setting1,0,0.15143541991710663,0.20698371529579163,105,2,12,52,0.9181286549707602,0.8969042056074766,0.9629629629629629,0.8125,0.8813559322033898,0.8264332110850675
R,sst_ukk,setting1,0,0.14220030605793,0.20243597030639648,104,3,12,52,0.9122807017543859,0.892231308411215,0.9454545454545454,0.8125,0.8739495798319328,0.8127253174507403
R,sst_ukl,setting1,0,0.1724209487438202,0.19717559218406677,107,0,10,54,0.9415204678362573,0.921875,1.0,0.84375,0.9152542372881356,0.8784273535043268
R,sst_imise,setting1,0,0.15504539012908936,0.18688879907131195,107,0,11,53,0.935672514619883,0.9140625,1.0,0.828125,0.905982905982906,0.8665603884205999
R,sst_hsm,setting1,0,0.21467819809913635,0.19624175131320953,104,3,10,54,0.9239766081871345,0.907856308411215,0.9473684210526315,0.84375,0.8925619834710744,0.8373927606052125
R,iil,setting1,0,0.22409658133983612,0.19948765635490417,104,3,11,53,0.9181286549707602,0.900043808411215,0.9464285714285714,0.828125,0.8833333333333333,0.8250428233352322
R,Ciil,setting1,0,0.2214422971010208,0.19097590446472168,105,2,11,53,0.9239766081871345,0.9047167056074766,0.9636363636363636,0.828125,0.8907563025210085,0.8385957622169496
R,sst_uka,setting1,1,0.21065175533294678,0.200513556599617,106,1,10,54,0.935672514619883,0.9172021028037383,0.9818181818181818,0.84375,0.907563025210084,0.864466206983159
R,sst_umg,setting1,1,0.14477641880512238,0.19330301880836487,105,2,11,53,0.9239766081871345,0.9047167056074766,0.9636363636363636,0.828125,0.8907563025210085,0.8385957622169496
R,sst_ukk,setting1,1,0.13882696628570557,0.20684106647968292,104,3,12,52,0.9122807017543859,0.892231308411215,0.9454545454545454,0.8125,0.8739495798319328,0.8127253174507403
R,sst_ukl,setting1,1,0.17444245517253876,0.19321180880069733,107,0,11,53,0.935672514619883,0.9140625,1.0,0.828125,0.905982905982906,0.8665603884205999
R,sst_imise,setting1,1,0.16029150784015656,0.19380736351013184,107,0,12,52,0.9298245614035088,0.90625,1.0,0.8125,0.896551724137931,0.8547322545047403
R,sst_hsm,setting1,1,0.22240984439849854,0.20281025767326355,104,3,9,55,0.9298245614035088,0.915668808411215,0.9482758620689655,0.859375,0.9016393442622951,0.8497791858590499
R,iil,setting1,1,0.21515102684497833,0.19293688237667084,105,2,10,54,0.9298245614035088,0.9125292056074766,0.9642857142857143,0.84375,0.9,0.8507924715904475
R,Ciil,setting1,1,0.21709896624088287,0.1922898143529892,105,2,11,53,0.9239766081871345,0.9047167056074766,0.9636363636363636,0.828125,0.8907563025210085,0.8385957622169496
